surface,model,pi,tpr,fpr,corpus_precision,ppv,ppv_sd,npv,fdr,alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,missed_per_hour,n_seeds
d_a_radio_heldout,xgboost,0.0001,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.20102993991843315,0.4098698841408197,0.9999870573132726,0.7989700600815668,59237.87049299845,59215.53303052198,1421708.8918319629,24682.446038749356,1.6649377635534492,20
d_a_radio_heldout,xgboost,0.0005,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.20502239321314972,0.40797570304987757,0.9999352731160311,0.7949776067868503,59327.265040177925,59215.53303052198,1423854.36096427,24719.693766740802,8.328020359065002,20
d_a_radio_heldout,xgboost,0.001,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.20974986007765514,0.40598173157413947,0.9998705125805015,0.7902501399223449,59439.10889368737,59215.53303052198,1426538.613448497,24766.29537236974,16.66437707484578,20
d_a_radio_heldout,xgboost,0.002,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.2184522397703433,0.40295111348038537,0.9997408903829417,0.7815477602296567,59663.13280467475,59215.53303052198,1431915.1873121937,24859.638668614476,33.362149694931745,20
d_a_radio_heldout,xgboost,0.005,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.24016460095094522,0.39822751102754633,0.9993512116721328,0.7598353990490547,60337.906333548264,59215.53303052198,1448109.7520051582,25140.794305645108,83.65684772749215,20
d_a_radio_heldout,xgboost,0.01,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.2676420153825738,0.3955151710743574,0.9986990192150802,0.7323579846174262,61471.616740645506,59215.53303052198,1475318.8017754923,25613.173641935628,168.1587141188984,20
d_a_radio_heldout,xgboost,0.05,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.3877785349454558,0.3733469740839314,0.9933534900631237,0.6122214650545442,70970.91657274457,59215.53303052198,1703301.9977458697,29571.215238643566,876.1954051458388,20
d_a_radio_heldout,xgboost,0.1,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.4800329956383286,0.3370469737923334,0.9863233183519646,0.5199670043616714,84032.45384188076,59215.53303052198,2016778.8922051382,35013.52243411699,1849.7458553078818,20
d_a_radio_heldout,xgboost,0.2,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.6067884981009734,0.27657571608541537,0.9708750566284892,0.39321150189902665,115053.60485607926,59215.53303052198,2761286.516545902,47939.00202336635,4161.928174442734,20
d_a_radio_heldout,xgboost,0.5,0.9306345304259545,0.24673138762717492,0.9295148149047983,0.819829680966274,0.1512488906177491,0.9058725215066576,0.18017031903372596,282567.820332751,59215.53303052198,6781627.687986026,117736.59180531293,16647.712697770938,20
