protocol,direction,train_frac,rep,model,n_train_sessions,n_test_sessions,n_train,n_test,train_prevalence,test_prevalence,f1_macro,recall,fpr,precision,pr_auc,brier,ece,alerts_per_hour,false_alerts_per_hour,ppv_deploy
random_sessions,n/a,0.5,5,majority,15,15,1627,1181,0.8598647818070068,0.6333615580016935,0.3877656817003629,1.0,1.0,0.6333615580016935,0.6333615580016935,0.36663844199830653,0.36663844199830653,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,6,logreg,15,15,988,1820,0.5931174089068826,0.8576923076923076,0.7087614905759614,0.9103139013452914,0.4826254826254826,0.9191461836998707,0.9114751250331095,0.1113378021545169,0.10368669438993021,116267.94215541217,115830.11583011583,0.0037656667623058313
random_sessions,n/a,0.5,6,tree,15,15,988,1820,0.5931174089068826,0.8576923076923076,0.6525385209628867,0.8872517616912236,0.5675675675675675,0.9040469973890339,0.898820587788378,0.17747252747252748,0.16318681318681316,136642.9505304565,136216.2162162162,0.0031229881423348845
random_sessions,n/a,0.5,6,rf,15,15,988,1820,0.5931174089068826,0.8576923076923076,0.7070280339838633,0.9147982062780269,0.4980694980694981,0.9171483622350675,0.9645647793774177,0.10449306681867944,0.08491946531279693,119976.66264190344,119536.67953667954,0.003667239074128328
random_sessions,n/a,0.5,6,xgboost,15,15,988,1820,0.5931174089068826,0.8576923076923076,0.6940314587373411,0.9000640614990391,0.4942084942084942,0.9165035877364645,0.9401528131112074,0.12959159910678864,0.13459328037850882,119042.93515264336,118610.03861003861,0.003636474033924522
random_sessions,n/a,0.5,6,hgb,15,15,988,1820,0.5931174089068826,0.8576923076923076,0.7465187913600579,0.9506726457399103,0.4980694980694981,0.9200247985120893,0.9451040025259516,0.1065809993749352,0.10583665113867234,119993.91688132398,119536.67953667954,0.003810504369956198
random_sessions,n/a,0.5,6,mlp,15,15,988,1820,0.5931174089068826,0.8576923076923076,0.7234075970391171,0.928891736066624,0.4942084942084942,0.9188846641318125,0.9213129713400509,0.10906922817230225,0.11612305818029665,119056.80016646344,118610.03861003861,0.003752507675329539
random_sessions,n/a,0.5,6,stratified,15,15,988,1820,0.5931174089068826,0.8576923076923076,0.4709707657156248,0.5932094811018578,0.5366795366795367,0.8694835680751174,0.8646869951455312,0.42527472527472526,0.41648351648351645,129088.39997636426,128803.08880308882,0.00221019993529769
random_sessions,n/a,0.5,6,majority,15,15,988,1820,0.5931174089068826,0.8576923076923076,0.4616977225672878,1.0,1.0,0.8576923076923076,0.8576923076923076,0.1423076923076923,0.1423076923076923,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,7,logreg,15,15,1459,1349,0.8053461274845785,0.720533728687917,0.672271141690235,0.6162551440329218,0.13527851458885942,0.9215384615384615,0.9263132651205646,0.2738275174032263,0.2720402082464252,32763.238760981374,32466.84350132626,0.009046579973897385
random_sessions,n/a,0.5,7,tree,15,15,1459,1349,0.8053461274845785,0.720533728687917,0.7745027024015155,0.7757201646090535,0.14588859416445624,0.9320148331273177,0.8845838858353533,0.20237212750185324,0.2023721275018532,35386.35446220732,35013.2625994695,0.010543382284159393
