seed,model,calibrator,domain,oracle,brier,ece,f1_macro,recall,fpr,precision,pr_auc,roc_auc,ppv_deploy,alerts_per_hour,mean_score,tp,fp,tn,fn
102,logreg,isotonic,source_test,False,0.0510121788436535,0.16656671933747494,0.7952781290397382,0.9929036133538317,0.4932779271571743,0.9797267430178822,0.9937865536160433,0.9197281535752834,0.004017598450762527,118864.25134979581,0.7934469645643919,,,,
102,logreg,isotonic,target,False,0.21730014793660118,0.31273684024681414,0.41970943286102497,1.0,0.96023536011521,0.6167248172767468,0.7412011212462095,0.6953020926262616,0.0020826502036847996,230937.4483514981,0.6819425617688963,,,,
102,logreg,isotonic+prior_ORACLE,target,True,0.406951271604791,0.49254027172744824,0.2820863802383796,1.4902059600110004e-05,4.60505383726577e-05,0.3333333333333333,0.7412011212462095,0.6953020926262616,0.0006480812982430289,11.05929653269241,0.17204041586581953,11.0,22.0,477714.0,738142.0
102,logreg,isotonic+prior_EM,target,False,0.3876176091720192,0.38901525333187165,0.3795036686673942,1.0,0.9983986971884053,0.6074713362586863,0.7412011212462095,0.6953020926262616,0.0020032013164363992,240096.649249065,0.9950093839374948,738153.0,476971.0,765.0,0.0
102,logreg,temperature,source_test,False,0.1550149802271169,0.3546261371554361,0.6908042604525906,0.908704018570745,0.12075287215839647,0.9944955764045195,0.9966664968590282,0.945021456685241,0.01485675014153097,29417.74135099507,0.6053875467464308,,,,
102,logreg,temperature,target,False,0.22135577002003942,0.19692269725200334,0.6426686946785399,0.6283927586828205,0.3231324413483598,0.7502968189420629,0.7728847600301556,0.6788877559140203,0.0038820473800184863,77854.01891375441,0.5149319615758096,,,,
102,tree,raw,source_test,False,0.04809540226716106,0.05625295963154277,0.7710661805427508,0.9441350451541962,0.06184307015399658,0.9972791310426413,0.9969265096710493,0.9615154692658751,0.029686208631764924,15296.429844648572,0.9083937024738232,,,,
102,tree,raw,target,False,0.3128572641877949,0.29200452815382605,0.6137489784210565,0.9173044070809169,0.6743954820235444,0.6775893781009392,0.6720512434668653,0.6226652518483016,0.002718417023119889,162296.10417803426,0.8267226141408054,,,,
102,tree,platt,source_test,False,0.12812867863175584,0.3240259518838257,0.4897994803744097,1.0,1.0,0.9600136839018669,0.9969262603485257,0.9615130900551733,0.002,240480.9619238477,0.6534432434334848,,,,
102,tree,platt,target,False,0.23309715074097778,0.3588649526740615,0.37775697758799454,1.0,1.0,0.6070891339587742,0.6720512434668653,0.6226652518483016,0.002,240480.9619238477,0.6477763094117515,,,,
