model,split_seed,tau,tp,fp,fn,tn
mlp,101,0.02,413,59,9,108
mlp,101,0.03,412,54,10,113
mlp,101,0.04,412,49,10,118
mlp,101,0.05,411,45,11,122
mlp,101,0.06,409,44,13,123
mlp,101,0.07,409,43,13,124
mlp,101,0.08,408,42,14,125
mlp,101,0.09,408,38,14,129
mlp,101,0.1,408,36,14,131
mlp,101,0.11,408,33,14,134
mlp,101,0.12,408,32,14,135
mlp,101,0.13,408,28,14,139
mlp,101,0.14,408,19,14,148
mlp,101,0.15,408,18,14,149
mlp,101,0.16,408,14,14,153
mlp,101,0.17,408,13,14,154
mlp,101,0.18,408,11,14,156
mlp,101,0.19,408,10,14,157
mlp,101,0.2,408,10,14,157
mlp,101,0.21,408,10,14,157
mlp,101,0.22,407,10,15,157
mlp,101,0.23,406,10,16,157
mlp,101,0.24,406,9,16,158
mlp,101,0.25,406,9,16,158
mlp,101,0.26,406,7,16,160
mlp,101,0.27,406,7,16,160
mlp,101,0.28,405,7,17,160
mlp,101,0.29,405,6,17,161
mlp,101,0.3,405,5,17,162
mlp,101,0.31,405,5,17,162
mlp,101,0.32,404,5,18,162
mlp,101,0.33,404,5,18,162
mlp,101,0.34,404,5,18,162
mlp,101,0.35,404,5,18,162
mlp,101,0.36,404,5,18,162
mlp,101,0.37,404,5,18,162
mlp,101,0.38,403,5,19,162
mlp,101,0.39,403,5,19,162
mlp,101,0.4,403,5,19,162
mlp,101,0.41,403,5,19,162
mlp,101,0.42,403,5,19,162
mlp,101,0.43,403,3,19,164
mlp,101,0.44,403,3,19,164
mlp,101,0.45,403,3,19,164
mlp,101,0.46,402,3,20,164
mlp,101,0.47,402,3,20,164
mlp,101,0.48,402,3,20,164
mlp,101,0.49,401,3,21,164
mlp,101,0.5,401,2,21,165
mlp,101,0.51,400,2,22,165
mlp,101,0.52,400,2,22,165
mlp,101,0.53,400,1,22,166
mlp,101,0.54,400,1,22,166
mlp,101,0.55,400,1,22,166
mlp,101,0.56,398,1,24,166
mlp,101,0.57,398,1,24,166
mlp,101,0.58,398,1,24,166
mlp,101,0.59,398,1,24,166
mlp,101,0.6,398,1,24,166
mlp,101,0.61,398,1,24,166
mlp,101,0.62,398,1,24,166
mlp,101,0.63,398,1,24,166
mlp,101,0.64,398,1,24,166
mlp,101,0.65,398,1,24,166
mlp,101,0.66,397,1,25,166
mlp,101,0.67,397,1,25,166
mlp,101,0.68,396,1,26,166
