model,split_seed,background,background__n,benign,benign__n,icmp_flood,icmp_flood__n,pfcp_deletion,pfcp_deletion__n,syn_flood,syn_flood__n
logreg,113,0.21371515975526853,23536,0.9138205980066445,15050,0.0,156,0.0,103,1.0,580
tree,113,0.80175050985724,23536,0.19913621262458472,15050,1.0,156,0.9902912621359223,103,1.0,580
rf,113,0.835868456832087,23536,0.1932890365448505,15050,1.0,156,1.0,103,1.0,580
xgboost,113,0.7920632222977566,23536,0.2699667774086379,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,113,0.2233599592114208,23536,0.9349501661129568,15050,1.0,156,0.9805825242718447,103,1.0,580
mlp,113,0.026342624065261725,23536,0.9681063122923588,15050,0.0,156,0.8932038834951457,103,1.0,580
majority,114,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,114,0.9382222977566281,23536,0.06358803986710963,15050,0.9423076923076923,156,0.941747572815534,103,0.9310344827586207,580
logreg,114,0.21371515975526853,23536,0.913156146179402,15050,0.0,156,0.0,103,1.0,580
tree,114,0.8243541808293677,23536,0.23308970099667775,15050,1.0,156,0.04854368932038835,103,1.0,580
rf,114,0.8640380693405847,23536,0.18651162790697676,15050,1.0,156,1.0,103,1.0,580
xgboost,114,0.7933803535010198,23536,0.25654485049833886,15050,1.0,156,0.019417475728155338,103,1.0,580
hgb,114,0.2669952413324269,23536,0.8649833887043189,15050,1.0,156,0.019417475728155338,103,1.0,580
mlp,114,0.7879418762746431,23536,0.26664451827242525,15050,0.0,156,0.019417475728155338,103,1.0,580
majority,115,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,115,0.9397943575798776,23536,0.061993355481727574,15050,0.9423076923076923,156,0.941747572815534,103,0.9344827586206896,580
logreg,115,0.21371515975526853,23536,0.913156146179402,15050,0.0,156,0.0,103,1.0,580
tree,115,0.8518864717878993,23536,0.2289700996677741,15050,1.0,156,0.9902912621359223,103,1.0,580
rf,115,0.9554299796057104,23536,0.09209302325581395,15050,1.0,156,1.0,103,1.0,580
xgboost,115,0.7929979605710401,23536,0.2687707641196013,15050,1.0,156,0.02912621359223301,103,1.0,580
hgb,115,0.7892590074779062,23536,0.25421926910299003,15050,1.0,156,0.5242718446601942,103,1.0,580
mlp,115,0.21154826648538408,23536,0.9302990033222591,15050,0.0,156,0.019417475728155338,103,1.0,580
majority,116,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,116,0.924243711760707,23536,0.0759468438538206,15050,0.9294871794871795,156,0.9320388349514563,103,0.9206896551724137,580
logreg,116,0.21392760027192387,23536,0.9011295681063123,15050,1.0,156,0.0,103,1.0,580
tree,116,0.8143269884432359,23536,0.2647176079734219,15050,1.0,156,0.9805825242718447,103,1.0,580
rf,116,0.84474847042828,23536,0.16564784053156145,15050,1.0,156,1.0,103,1.0,580
xgboost,116,0.792275662814412,23536,0.2763455149501661,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,116,0.2885791978246091,23536,0.867375415282392,15050,1.0,156,0.9805825242718447,103,1.0,580
mlp,116,0.6017590074779062,23536,0.2762790697674419,15050,1.0,156,0.970873786407767,103,1.0,580
majority,117,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,117,0.9404316791298436,23536,0.061129568106312294,15050,0.9423076923076923,156,0.941747572815534,103,0.9344827586206896,580
logreg,117,0.21371515975526853,23536,0.9113621262458472,15050,0.0,156,0.0,103,1.0,580
tree,117,0.1459041468388851,23536,0.860531561461794,15050,1.0,156,0.970873786407767,103,1.0,580
rf,117,0.856645139360979,23536,0.19308970099667774,15050,1.0,156,0.9805825242718447,103,1.0,580
xgboost,117,0.7895564242012236,23536,0.27222591362126247,15050,1.0,156,0.970873786407767,103,1.0,580
hgb,117,0.7931254248810333,23536,0.23807308970099667,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,117,0.21137831407205981,23536,0.9354817275747508,15050,1.0,156,0.019417475728155338,103,1.0,580
