seed,model,calibrator,domain,tau,recall,fpr,ppv_deploy,alerts_per_hour
101,logreg,temperature,target,0.3,0.6173625251133572,0.33117872632583684,0.003721841684452029,79779.82218599082
101,logreg,temperature,target,0.35000000000000003,0.30229369791899513,0.03419461794798801,0.017407808499494082,8352.100066035277
101,logreg,temperature,target,0.4,0.29808047925023673,0.033794815546661756,0.017368943242336878,8254.121091960458
101,logreg,temperature,target,0.45,0.2970590108012837,0.03324430229247953,0.017592065112327977,8121.506623526366
101,logreg,temperature,target,0.5,0.29524773319352493,0.032834033859704945,0.01770130766195876,8022.171044097616
101,logreg,temperature,target,0.55,0.2951258072513422,0.03239236733258536,0.017931058607735778,7916.112435853196
101,logreg,temperature,target,0.6000000000000001,0.2948846648323586,0.03188999782306546,0.01819377971760553,7795.427773246664
101,logreg,temperature,target,0.6500000000000001,0.2452757084235924,0.026290670998208216,0.018353024963234436,6427.729316166489
101,logreg,temperature,target,0.7000000000000001,0.24145536223520056,0.024683088567744527,0.019226730042111926,6040.072091802671
101,logreg,temperature,target,0.7500000000000001,0.20541134426060723,0.02333925012977879,0.01733180839035112,5700.215066462632
101,logreg,temperature,target,0.8,0.19144811441530415,0.02151397424518981,0.017520773675535655,5255.433072271753
101,logreg,temperature,target,0.8500000000000001,0.16252999039494523,0.019812197531691143,0.016174042927879734,4833.098144469175
101,logreg,temperature,target,0.9000000000000001,0.1482578814961126,0.019096320980625282,0.015320135128025996,4654.423431260021
101,logreg,temperature,target,0.9500000000000001,0.1420423679101758,0.0172961635715123,0.01619117211354792,4219.396227700912
101,logreg,temperature,target,0.95,0.1420423679101758,0.0172961635715123,0.01619117211354792,4219.396227700912
101,logreg,temperature,target,0.99,2.4385188436543643e-05,0.0002469983421806186,0.00019780880359339365,59.29133047049229
101,logreg,temperature,target,0.995,1.7611524981948187e-05,1.8838856606996332e-05,0.0018699457608245915,4.529796058616329
101,logreg,temperature,target,0.999,0.0,6.2796188689987774e-06,0.0,1.5071085285597066
101,tree,raw,source_test,0.05,0.8169151980719987,0.3379396984924623,0.004821014246026487,81498.43274347608
101,tree,raw,source_test,0.1,0.8115680072300046,0.32663316582914576,0.004954581730060967,78782.29310908557
101,tree,raw,source_test,0.15000000000000002,0.7990661244163277,0.228643216080402,0.006954930797369662,55258.69223977728
101,tree,raw,source_test,0.2,0.7986142491339057,0.228643216080402,0.006951025093185566,55258.47490497211
101,tree,raw,source_test,0.25,0.7976351860219912,0.228643216080402,0.006942562628723113,55258.004012894235
101,tree,raw,source_test,0.3,0.7976351860219912,0.228643216080402,0.006942562628723113,55258.004012894235
101,tree,raw,source_test,0.35000000000000003,0.7974845609278506,0.22738693467336685,0.006979342550589242,54956.42403027074
101,tree,raw,source_test,0.4,0.7974845609278506,0.22738693467336685,0.006979342550589242,54956.42403027074
101,tree,raw,source_test,0.45,0.7974845609278506,0.22738693467336685,0.006979342550589242,54956.42403027074
101,tree,raw,source_test,0.5,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.55,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.6000000000000001,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.6500000000000001,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.7000000000000001,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.7500000000000001,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
