model,split_seed,domain,bin,mean_score,attack_freq,n
hgb,102,source_heldout,0,0.09537091720775319,0.5201832235900372,10479
hgb,102,source_heldout,1,0.2555749538674713,0.8417787956866113,10479
hgb,102,source_heldout,2,0.5647717068187282,0.9739478957915831,10479
hgb,102,source_heldout,3,0.8027519123792662,0.9889302414352514,10479
hgb,102,source_heldout,4,0.8500517423258837,1.0,10479
hgb,102,source_heldout,5,0.8969499975811603,0.9902662467792729,10479
hgb,102,source_heldout,6,0.9430577825027091,0.9992364955144112,10478
hgb,102,source_heldout,7,0.9851088087783726,0.9952280969650696,10478
hgb,102,source_heldout,8,0.9990490335547233,0.9999045619393014,10478
hgb,102,source_heldout,9,0.9996754155909982,1.0,10478
hgb,102,source_heldout,10,0.9998073319605468,0.9999045619393014,10478
hgb,102,source_heldout,11,0.9998761121689089,1.0,10478
hgb,102,source_heldout,12,0.9998769348457849,1.0,10478
hgb,102,source_heldout,13,0.9998896012603764,1.0,10478
hgb,102,source_heldout,14,0.9999212156372304,1.0,10478
hgb,102,target,0,0.028683747347549447,0.4865161608684925,81060
hgb,102,target,1,0.0683729986406651,0.12927461139896373,81060
hgb,102,target,2,0.07228515321778602,0.4897976807303232,81060
hgb,102,target,3,0.12673194926054956,0.7841968911917099,81060
hgb,102,target,4,0.3406903185882128,0.7649243143882851,81059
hgb,102,target,5,0.6975602534906403,0.7525506112831395,81059
hgb,102,target,6,0.7241784509265276,0.0,81059
hgb,102,target,7,0.7241784509265276,0.6911262167063497,81059
hgb,102,target,8,0.7255814901485867,0.9991734415672535,81059
hgb,102,target,9,0.7528668624601857,0.8192181003960078,81059
hgb,102,target,10,0.8799626068049068,0.9951393429477294,81059
hgb,102,target,11,0.8942788093216433,0.30202691866418285,81059
hgb,102,target,12,0.8942788093216433,0.00020972378144314634,81059
hgb,102,target,13,0.8942788093216433,0.9510480020725645,81059
hgb,102,target,14,0.8974983772458013,0.9411416375726323,81059
mlp,102,source_heldout,0,0.06206169351935387,0.4647390018131501,10479
mlp,102,source_heldout,1,0.3169792890548706,0.9454146388014123,10479
mlp,102,source_heldout,2,0.7564891576766968,0.9820593568088558,10479
mlp,102,source_heldout,3,0.961264967918396,0.9938925469987594,10479
mlp,102,source_heldout,4,0.9783910512924194,0.999236568374845,10479
mlp,102,source_heldout,5,0.9839462041854858,0.998282278843401,10479
mlp,102,source_heldout,6,0.990820050239563,0.976235922886047,10478
mlp,102,source_heldout,7,0.997377336025238,0.949799580072533,10478
mlp,102,source_heldout,8,0.9996636509895325,0.9999045619393014,10478
mlp,102,source_heldout,9,0.9998390674591064,1.0,10478
mlp,102,source_heldout,10,0.9999287724494934,0.9999045619393014,10478
mlp,102,source_heldout,11,0.9999576210975647,1.0,10478
mlp,102,source_heldout,12,0.9999619722366333,1.0,10478
mlp,102,source_heldout,13,0.9999619722366333,1.0,10478
mlp,102,source_heldout,14,0.9999901056289673,0.9999045619393014,10478
mlp,102,target,0,0.02924756519496441,0.6625339254872934,81060
mlp,102,target,1,0.0802796334028244,0.7236738218603503,81060
mlp,102,target,2,0.21389570832252502,0.36640759930915373,81060
mlp,102,target,3,0.32319891452789307,0.050320750061682705,81060
mlp,102,target,4,0.8034864664077759,0.8318878841337791,81059
mlp,102,target,5,0.9672589898109436,0.9533796370544911,81059
mlp,102,target,6,0.9842879772186279,0.6323665478231905,81059
mlp,102,target,7,0.9862420558929443,0.4997470977929656,81059
mlp,102,target,8,0.9862611889839172,0.5005613195326861,81059
