model,split_seed,domain,n_benign_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign
autoencoder,109,source_heldout,10969,2.4357876777648926,587,131,5036,106385,0.05014312594191138,0.490067107124455,0.8175487465181058,0.005487417268070149,0.010901662178475253,0.048645671038460535,-0.05221728507792922,0.025353203019160053,0.9945125827319299,0.9746467969808399,0.7506952154687514,0.9711686156684958,0.529316717469052
autoencoder,109,target,10969,2.4357876777648926,37410,33084,444652,700743,0.39646875660524933,0.49071445653998236,0.5306834624223338,0.0506805499672832,0.09252492125735952,0.32020954191786716,-0.038810638096855817,0.06925163688731852,0.9493194500327168,0.9307483631126815,0.5289707573970714,0.6365020124978276,0.41954119495533376
iforest,110,source_heldout,16222,0.6393404265586548,3827,4,11,84821,0.04328750437048148,0.3882520380230424,0.9989558861915949,0.04317074271275156,0.08276473577785227,0.0415120130148587,-0.014295974948455196,0.26666666666666666,0.9568292572872484,0.7333333333333333,0.13383870288481786,0.9994251147116094,9.98005332598436e-05
iforest,110,target,16222,0.6393404265586548,26,1787,475949,738127,0.39146254304463646,0.4981473317051652,0.014340871483728626,3.5223049963896374e-05,7.027349905265918e-05,0.28136013030673007,-0.0469000175316311,0.0037405596396336053,0.999964776950036,0.9962594403603664,0.47102653419669355,0.5890693605764044,0.3918306145918949
autoencoder,110,source_heldout,16222,3.2276291847229004,49,12,3,88599,0.0005864904187767164,0.1002763739734681,0.8032786885245902,0.0005527479469361971,0.0011047357088908678,0.0005862214039901037,-0.39653655968936347,0.8,0.9994472520530638,0.2,0.07575429413711156,0.998845111643775,9.36848100089305e-05
autoencoder,110,target,16222,3.2276291847229004,1219,32995,444741,736934,0.36677690150992404,0.4662930388113461,0.03562869000993745,0.0016514191502303723,0.0031565305094598812,0.26958962591221625,-0.199097509007323,0.06906534152753822,0.9983485808497696,0.9309346584724618,0.4275064246598512,0.5712778861779345,0.3657358140054505
iforest,111,source_heldout,12188,0.6366512728018089,8463,30,3988,89414,0.12219441582020707,0.5394996324482451,0.9964676792652772,0.08646566609111436,0.15912381310519882,0.12049805929330974,0.055623676566326156,0.007466401194624191,0.9135343339088856,0.9925335988053758,0.8275496429822351,0.987719279955528,0.6064743174349776
iforest,111,target,12188,0.6366512728018089,1,13334,464402,738152,0.38194522690804833,0.4860452710331405,7.499062617172853e-05,1.3547326909190912e-06,2.661386475898484e-06,0.2763833837912151,-0.13087894242402118,0.0279108126664099,0.9999986452673091,0.9720891873335901,0.4877658295851227,0.6140197330647568,0.3972455151498309
autoencoder,111,source_heldout,12188,3.904982089996338,186,34,3984,97691,0.04092448108346828,0.49671921147789366,0.8454545454545455,0.001900344309694821,0.0037921648980091135,0.03959015868867984,-0.0275128190938006,0.008461921353907416,0.9980996556903052,0.9915380786460926,0.7858687394815529,0.9799920837376668,0.5810118501394821
autoencoder,111,target,12188,3.904982089996338,1211,32983,444753,736942,0.3667801912839083,0.4663001791183204,0.03541556998303796,0.0016405812887030195,0.0031358961710215745,0.26958330997762925,-0.19911185325606595,0.06904022305206223,0.998359418711297,0.9309597769479377,0.5087522676066287,0.6184184456530887,0.40457321200598667
