model,split_seed,domain,group,tau,tp,fp,fn,tn
stratified,109,source_heldout,fe80::a85c:d7ff:fe77:59c1,0.999,1,0,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.05,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.1,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.15,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.2,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.25,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.3,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.35,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.4,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.45,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.5,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.55,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.6,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.65,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.7,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.75,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.8,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.85,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.9,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.95,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.975,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.99,0,1,0,0
stratified,109,source_heldout,fe80::b01c:b3ff:fec9:d7f6,0.995,0,1,0,0
