model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
stratified,106,target,212205,39425,0.9401003746377323,0.5,787,36292,2294,52,0.07814838300570703,0.49873653434363635,0.021224952129237574,0.9380214541120382,0.041510628197689754,0.07679948491874129,-0.001541563032222482,0.9405483854247655,0.06197854588796186,0.05945161457523454,0.49873653434363635,0.02122842051045506,0.9786665034207965,0.921851616994293
logreg,106,source_heldout,212205,87795,0.9401003746377323,0.5,76215,703,2748,8129,0.8994020160601401,0.8499559080305124,0.9908603967861879,0.9036208858958551,0.9452319827361685,0.6644082861754544,0.41283294331285625,0.20370906983483048,0.09637911410414493,0.7962909301651695,0.9012052101598913,0.9947957465680013,0.23846967688434983,0.10592966309063243
logreg,106,target,212205,39425,0.9401003746377323,0.5,580,6340,32246,259,0.8326188966391883,0.7634954336634351,0.0838150289017341,0.6912991656734208,0.1495038020363449,0.5283395562769253,0.19992670894873837,0.16430829834655056,0.30870083432657924,0.8356917016534494,0.7269146850089893,0.3895840502829464,0.9872457348635163,0.21283143065825788
tree,106,source_heldout,212205,87795,0.9401003746377323,0.5,76653,1087,2364,7691,0.9000170852554246,0.7969163700404462,0.9860174942114741,0.9088139049606374,0.945842896276005,0.6479547666631025,0.3623684754912748,0.314981164879745,0.0911860950393626,0.685018835120255,0.7807037426561254,0.9826372699034231,0.26338384154507805,0.07602350269909353
tree,106,target,212205,39425,0.9401003746377323,0.5,799,31919,6667,40,0.1893722257450856,0.5625535350442679,0.024420808117855616,0.9523241954707986,0.047620466668653334,0.17100737196502014,0.04805296461998498,0.827217125382263,0.04767580452920143,0.172782874617737,0.5586497433993703,0.024278394726140254,0.9789515251450943,0.8117247683825554
rf,106,source_heldout,212205,87795,0.9401003746377323,0.5,81068,1491,1960,3276,0.945703058260721,0.7645551906718723,0.9819401882290241,0.9611590628853267,0.9714385002067069,0.7113437464772454,0.43417401546013523,0.43204868154158216,0.03884093711467324,0.5679513184584178,0.9526962985379273,0.9978872520384866,0.5005906291630792,0.03961879177852242
rf,106,target,212205,39425,0.9401003746377323,0.5,837,33288,5298,2,0.1556119213696893,0.5674599475239959,0.02452747252747253,0.9976162097735399,0.04787781718338863,0.1446607788920179,0.05708179089040968,0.8626963147255481,0.0023837902264600714,0.1373036852744519,0.8921222948759507,0.40280816476025527,0.9964290159496729,0.6134129092896117
xgboost,106,source_heldout,212205,87795,0.9401003746377323,0.5,76500,745,2706,7844,0.9021698274389202,0.8455602249599843,0.9903553628066541,0.9069999051503367,0.9468466294116555,0.6666952238551742,0.41303979981296957,0.215879455230368,0.09300009484966329,0.784120544769632,0.9596882094227794,0.9982238797449009,0.5773821733149423,0.06287813931703568
xgboost,106,target,212205,39425,0.9401003746377323,0.5,738,30281,8305,101,0.22937222574508562,0.5474260489717966,0.023791869499339115,0.8796185935637664,0.04633059200200892,0.19989750573883217,0.03342213678169408,0.7847664956201731,0.12038140643623362,0.21523350437982688,0.7897651127055352,0.3164181444385048,0.9940426423633988,0.6524348258972168
hgb,106,source_heldout,212205,87795,0.9401003746377323,0.5,76015,241,3210,8329,0.9023862406742981,0.9157074069149225,0.996839592950063,0.9012496443137626,0.946637608966376,0.6874615663244155,0.4781853181463426,0.0698348304839177,0.09875035568623731,0.9301651695160823,0.961395161521061,0.9982406201287324,0.5735332920430487,0.059529308585217024
hgb,106,target,212205,39425,0.9401003746377323,0.5,776,28117,10469,63,0.2852251109701966,0.5981133146107016,0.02685771640189665,0.9249106078665077,0.05219965020852953,0.23923961092616305,0.06400325479853718,0.7286839786451045,0.07508939213349225,0.2713160213548956,0.9011383608411954,0.4095273014124381,0.9971369704754958,0.5042811215850017
mlp,106,source_heldout,212205,87795,0.9401003746377323,0.5,76483,254,3197,7861,0.9075687681530838,0.9165982475404707,0.9966899930932926,0.9067983496158588,0.9496216189370565,0.6951568016113362,0.48798481693588236,0.07360185453491741,0.09320165038414113,0.9263981454650826,0.9645722610689296,0.9985133408047387,0.5408503862510107,0.06521987169981003
mlp,106,target,212205,39425,0.9401003746377323,0.5,681,30020,8566,158,0.23454660748256181,0.5168390939125994,0.02218168789290251,0.8116805721096544,0.04318325935320228,0.20265271612766855,0.011708748721488693,0.7780023842844555,0.18831942789034564,0.2219976157155445,0.7456146439323779,0.38845369183294787,0.9890521142441856,0.7340412139892578
majority,107,source_heldout,211378,88622,0.9242967574676646,0.5,88603,19,0,0,0.9997856062828643,0.5,0.9997856062828643,1.0,0.9998927916490337,0.49994639582451683,0.0,1.0,0.0,0.0,0.5,0.9997856062828643,0.00021439371713569995,0.00021439371713569995
majority,107,target,211378,39425,0.9242967574676646,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,107,source_heldout,211378,88622,0.9242967574676646,0.5,81888,18,1,6715,0.9240256369750175,0.48842203869775114,0.9997802358801553,0.9242124984481338,0.9605123483217894,0.48040465226037504,-0.0012810022748609166,0.9473684210526315,0.07578750155186618,0.05263157894736842,0.48842203869775114,0.9997806428895589,0.00021094658221607865,0.0759743630249825
stratified,107,target,211378,39425,0.9242967574676646,0.5,775,35684,2902,64,0.09326569435637286,0.49946366882156706,0.021256754162209606,0.9237187127532777,0.041557188052978714,0.09061879425752517,-0.0005869092453738925,0.9247913751101435,0.07628128724672228,0.07520862488985643,0.4994636688215671,0.0212585970390805,0.978696752202767,0.9067343056436271
logreg,107,source_heldout,211378,88622,0.9242967574676646,0.5,82704,3,16,5899,0.9334025411297421,0.8877636910238871,0.9999637273749501,0.9334221188898796,0.9655478372541008,0.48547024488252727,0.04549353054111696,0.15789473684210525,0.06657788111012042,0.8421052631578947,0.9351385274467954,0.9999823576200992,0.24155126130761148,0.05637296301626612
logreg,107,target,211378,39425,0.9242967574676646,0.5,580,6316,32270,259,0.8332276474318326,0.7638064272880658,0.08410672853828306,0.6912991656734208,0.14996767937944408,0.5287558990302268,0.2004367008596907,0.16368631109728918,0.30870083432657924,0.8363136889027109,0.8475866363432436,0.40322157069558334,0.9916106674227095,0.17296765957033386
