rung,feature_set,split,seed,model,n_train,n_test,test_prevalence,clean_n,clean_accuracy,clean_balanced_accuracy,clean_recall,clean_fpr,clean_tp,clean_fp,clean_tn,clean_fn,accuracy,balanced_accuracy,f1_macro,recall,fpr,roc_auc,tp,fp,tn,fn,fit_s,predict_s
R2,published_top10,fold4,11,dt,1064049,151841,0.5771300241700199,151841,0.9771800765274201,0.9801757085280716,0.9607563447142596,0.0004049276581164634,84193,26,64183,3439,0.9771800765274201,0.9801757085280716,0.9767767667498484,0.9607563447142596,0.0004049276581164634,0.9801757085280716,84193,26,64183,3439,7.41,0.01
R2,published_top10,fold4,11,rf,1064049,151841,0.5771300241700199,151841,0.9776279134094217,0.9805491249074605,0.961612196457915,0.0005139466429939728,84268,33,64176,3364,0.9776279134094217,0.9805491249074605,0.9772292133852963,0.961612196457915,0.0005139466429939728,0.9997695523199182,84268,33,64176,3364,26.72,0.15
R2,published_top10,fold4,11,nb,1064049,151841,0.5771300241700199,151841,0.9029115983166602,0.8993648004822484,0.9223571298155925,0.12362752885109564,80828,7938,56271,6804,0.9029115983166602,0.8993648004822484,0.90030394110797,0.9223571298155925,0.12362752885109564,0.9749587997048438,80828,7938,56271,6804,0.39,0.07
R2,published_top10,fold4,11,mlp,1064049,151841,0.5771300241700199,151841,0.995712620438485,0.9956112324059521,0.996268486397663,0.005046021585759006,87305,324,63885,327,0.995712620438485,0.9956112324059521,0.9956081377396715,0.996268486397663,0.005046021585759006,0.9978535890331411,87305,324,63885,327,464.61,0.19
R2,no_position_top10,fold4,11,dt,1064049,151841,0.5771300241700199,151841,0.9781679520024236,0.9810523741923005,0.9623539346357495,0.0002491862511485929,84333,16,64193,3299,0.9781679520024236,0.9810523741923005,0.9777769816124566,0.9623539346357495,0.0002491862511485929,0.9811346580014388,84333,16,64193,3299,1.56,0.01
R2,no_position_top10,fold4,11,rf,1064049,151841,0.5771300241700199,151841,0.9806376406899322,0.9832024105117254,0.9665761365711156,0.0001713155476646576,84703,11,64198,2929,0.9806376406899322,0.9832024105117254,0.9802779801193502,0.9665761365711156,0.0001713155476646576,0.9999481963261219,84703,11,64198,2929,12.04,0.18
R2,no_position_top10,fold4,11,nb,1064049,151841,0.5771300241700199,151841,0.929999143841255,0.9341425397329612,0.9072827277706774,0.03899764830475479,79507,2504,61705,8125,0.929999143841255,0.9341425397329612,0.9290235392801314,0.9072827277706774,0.03899764830475479,0.9765080647731724,79507,2504,61705,8125,0.39,0.07
R2,no_position_top10,fold4,11,mlp,1064049,151841,0.5771300241700199,151841,0.9920574811809723,0.9917348262628682,0.9938264560890999,0.010356803563363392,87091,665,63544,541,0.9920574811809723,0.9917348262628682,0.9918617665927367,0.9938264560890999,0.010356803563363392,0.9967164315058148,87091,665,63544,541,220.54,0.3
R3,published_top10,site1to2,11,dt,728316,487574,0.8548363940653111,487574,0.7872056344267742,0.8745790854796385,0.7514611464601387,0.00230297550086185,313206,163,70615,103590,0.7872056344267742,0.8745790854796385,0.717196850517025,0.7514611464601387,0.00230297550086185,0.8745790854796384,313206,163,70615,103590,4.53,0.06
R3,published_top10,site1to2,11,rf,728316,487574,0.8548363940653111,487574,0.7888669207135738,0.8759085314423475,0.7532581886582405,0.001441125773545452,313955,102,70676,102841,0.7888669207135738,0.8759085314423475,0.7188793509571776,0.7532581886582405,0.001441125773545452,0.9776692350383497,313955,102,70676,102841,17.62,0.49
R3,published_top10,site1to2,11,nb,728316,487574,0.8548363940653111,487574,0.5957700779779069,0.7065227778751713,0.5504611368631177,0.13741558111277516,229430,9726,61052,187366,0.5957700779779069,0.7065227778751713,0.5410345073286116,0.5504611368631177,0.13741558111277516,0.8987037805024563,229430,9726,61052,187366,0.26,0.22
R3,published_top10,site1to2,11,mlp,728316,487574,0.8548363940653111,487574,0.7796437053657496,0.8688364976491376,0.7431549247113696,0.005481929413094464,309744,388,70390,107052,0.7796437053657496,0.8688364976491376,0.709679054457906,0.7431549247113696,0.005481929413094464,0.9693037350097992,309744,388,70390,107052,544.82,0.68
R3,no_position_top10,site1to2,11,dt,728316,487574,0.8548363940653111,487574,0.4223666561383503,0.6617510011924992,0.3244344955325867,0.0009324931475882337,135223,66,70712,281573,0.4223666561383503,0.6617510011924992,0.41207444206744226,0.3244344955325867,0.0009324931475882337,0.9992164029165733,135223,66,70712,281573,1.0,0.05
R3,no_position_top10,site1to2,11,rf,728316,487574,0.8548363940653111,487574,0.42244049108443027,0.661753134786639,0.32453766350924673,0.0010313939359688038,135266,73,70705,281530,0.42244049108443027,0.661753134786639,0.41213334946152924,0.32453766350924673,0.0010313939359688038,0.9975933390985263,135266,73,70705,281530,10.24,0.51
R3,no_position_top10,site1to2,11,nb,728316,487574,0.8548363940653111,487574,0.39767296861604595,0.6279011445382829,0.30348659776005527,0.04768430868348922,126492,3375,67403,290304,0.39767296861604595,0.6279011445382829,0.38869474680013333,0.30348659776005527,0.04768430868348922,0.9572829834739419,126492,3375,67403,290304,0.27,0.24
R3,no_position_top10,site1to2,11,mlp,728316,487574,0.8548363940653111,487574,0.5546952872794694,0.7310635350942257,0.482543018647012,0.02041594845856057,201122,1445,69333,215674,0.5546952872794694,0.7310635350942257,0.5195972585703398,0.482543018647012,0.02041594845856057,0.984684166010343,201122,1445,69333,215674,151.38,0.74
R3,published_top10,site2to1,11,dt,487574,728316,0.44123292636712635,446791,0.9929407709645002,0.9949395788252213,0.9903814138170322,0.0005022561665896009,318266,63,125371,3091,0.6091270822005833,0.6492246513599227,0.579640597122938,0.9903814138170322,0.6919321110971867,0.6492246513599227,318266,281588,125371,3091,3.32,0.08
R3,published_top10,site2to1,11,rf,487574,728316,0.44123292636712635,446791,0.9928109563531943,0.9948809298636834,0.9901604757325965,0.00039861600522984197,318195,50,125384,3162,0.9048846929080234,0.9138533820896722,0.904792596195737,0.9901604757325965,0.1624537115532523,0.9927300632084755,318195,66112,340847,3162,11.59,0.79
R3,published_top10,site2to1,11,nb,487574,728316,0.44123292636712635,446791,0.9342556139223932,0.9190679138802329,0.9537025799967015,0.11556675223623579,306479,14496,110938,14878,0.5731262254296212,0.6131524898735224,0.5399653072958746,0.9537025799967015,0.7273976002496566,0.5073050237983954,306479,296021,110938,14878,0.19,0.35
R3,published_top10,site2to1,11,mlp,487574,728316,0.44123292636712635,446791,0.9898028384636217,0.9876011966364531,0.9926219127014504,0.017419519428544094,318986,2185,123249,2371,0.8294970864295168,0.8466533741372835,0.8291282884777498,0.9926219127014504,0.2993151644268833,0.7954038367329349,318986,121809,285150,2371,343.92,0.71
R3,no_position_top10,site2to1,11,dt,487574,728316,0.44123292636712635,446791,0.993439885763142,0.9953497316811855,0.9909944392062411,0.0002949758438700831,318463,37,125397,2894,0.6094332679770869,0.6495631083044393,0.5799136695043068,0.9909944392062411,0.6918682225973624,0.6494615114542821,318463,281562,125397,2894,0.97,0.09
R3,no_position_top10,site2to1,11,rf,487574,728316,0.44123292636712635,446791,0.9929877728065247,0.9950111368960735,0.9903969728370629,0.0003746990449160515,318271,47,125387,3086,0.6091559158387293,0.6492520888698841,0.5796752221768089,0.9903969728370629,0.6918927950972948,0.6479359166164409,318271,281572,125387,3086,4.99,0.79
R3,no_position_top10,site2to1,11,nb,487574,728316,0.44123292636712635,446791,0.9567269707760452,0.9527824411675567,0.9617777113926257,0.05621282905751232,309074,7051,118383,12283,0.586911450524223,0.6263371686713299,0.5565092321381211,0.9617777113926257,0.7091033740499657,0.7349905217379263,309074,288576,118383,12283,0.2,0.33
R3,no_position_top10,site2to1,11,mlp,487574,728316,0.44123292636712635,446791,0.9977125770214709,0.9967524321632892,0.9989419866379136,0.0054371223113350445,321017,682,124752,340,0.6120543829876043,0.6527444188974548,0.5816764416886225,0.9989419866379136,0.6934531488430038,0.5553530529020816,321017,282207,124752,340,153.71,0.13
