direction,model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
a_to_b,mlp,114,0.07299010332066246,477736,0.881560121497848,682152,0.645827753075838,56001
a_to_b,majority,115,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,115,0.0613058258117454,477736,0.9389901370955447,682152,0.9370546954518669,56001
a_to_b,logreg,115,0.9764681748915719,477736,0.25883527424972735,682152,0.7159872145140266,56001
a_to_b,tree,115,0.3541495721486344,477736,0.7858263260974093,682152,0.28140568918412173,56001
a_to_b,rf,115,0.3517989014853392,477736,0.8978086995273781,682152,0.28465563114944376,56001
a_to_b,xgboost,115,0.4048763333724065,477736,0.789847424034526,682152,0.2795128658416814,56001
a_to_b,hgb,115,0.3974454510440913,477736,0.8069022739799927,682152,0.2799057159693577,56001
a_to_b,mlp,115,0.07314709379238743,477736,0.9397744197774103,682152,0.645827753075838,56001
a_to_b,majority,116,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,116,0.07619270894385183,477736,0.9239377733994769,682152,0.9221085337761825,56001
a_to_b,logreg,116,0.9678755630724919,477736,0.25973976474451443,682152,0.7164872055856145,56001
a_to_b,tree,116,0.43193730428521193,477736,0.4187292568225264,682152,0.35838645738468955,56001
a_to_b,rf,116,0.6362216789189008,477736,0.5655968171316657,682152,0.3597435760075713,56001
a_to_b,xgboost,116,0.7008263978431603,477736,0.4519681830442482,682152,0.0021249620542490313,56001
a_to_b,hgb,116,0.6920139993636653,477736,0.45977142924157666,682152,0.002482098533954751,56001
a_to_b,mlp,116,0.057236632784634194,477736,0.8789448685923372,682152,1.0,56001
a_to_b,majority,117,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,117,0.06071763484434918,477736,0.9396380865261701,682152,0.9376618274673667,56001
a_to_b,logreg,117,0.9765100390173652,477736,0.25839842146618347,682152,0.7159872145140266,56001
a_to_b,tree,117,0.9693010365557546,477736,0.19065398914025028,682152,0.003214228317351476,56001
a_to_b,rf,117,0.6386874759281277,477736,0.5869982056784998,682152,0.007839145729540545,56001
a_to_b,xgboost,117,0.7011257263425825,477736,0.4802595315999953,682152,0.0020356779343226016,56001
a_to_b,hgb,117,0.6956247802133396,477736,0.5507980626018835,682152,0.0026963804217781826,56001
a_to_b,mlp,117,0.06400187551283554,477736,0.9477682393366874,682152,0.645827753075838,56001
a_to_b,majority,118,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,118,0.05707964231290922,477736,0.943200342445672,682152,0.9415010446242031,56001
a_to_b,logreg,118,0.9769286802752984,477736,0.25892323118601135,682152,0.7164872055856145,56001
a_to_b,tree,118,0.3445836194048596,477736,0.7727090149995895,682152,0.2809949822324601,56001
a_to_b,rf,118,0.3658861798147931,477736,0.8886157337367625,682152,0.281048552704416,56001
a_to_b,xgboost,118,0.40376274762630404,477736,0.7828225967233109,682152,0.27895930429813753,56001
a_to_b,hgb,118,0.39473684210526316,477736,0.8202643985504697,682152,0.2801914251531223,56001
a_to_b,mlp,118,0.08055076443893698,477736,0.9538753826126728,682152,0.9988928769129123,56001
a_to_b,majority,119,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,119,0.07310522966659411,477736,0.9270573127396826,682152,0.9252870484455634,56001
a_to_b,logreg,119,0.9723801430078537,477736,0.2614549250020523,682152,0.7145943822431742,56001
a_to_b,tree,119,0.5798893112514024,477736,0.4211099578979465,682152,0.35992214424742414,56001
a_to_b,rf,119,0.6327909138101379,477736,0.5680522816029272,682152,0.01048195567936287,56001
a_to_b,xgboost,119,0.6769429140780682,477736,0.5042424562267647,682152,0.004321351404439206,56001
a_to_b,hgb,119,0.6785944538406149,477736,0.5349746097643927,682152,0.00492848341993893,56001
a_to_b,mlp,119,0.06781360416631779,477736,0.9514726923031817,682152,1.0,56001
a_to_b,majority,120,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,120,0.055846743808295796,477736,0.9443789653918775,682152,0.942679595007232,56001
a_to_b,logreg,120,0.9769244938627192,477736,0.25703655490271965,682152,0.7159872145140266,56001
a_to_b,tree,120,0.6410779175109266,477736,0.4505652699105185,682152,0.006553454402599954,56001
a_to_b,rf,120,0.6266222348744913,477736,0.5770634697252225,682152,0.007874859377511116,56001
a_to_b,xgboost,120,0.689864276504178,477736,0.4693968499689219,682152,0.0029463759575721863,56001
a_to_b,hgb,120,0.37566773280640353,477736,0.7876499665763642,682152,0.28213781896751844,56001
a_to_b,mlp,120,0.022671517323375252,477736,0.9390033306359873,682152,1.0,56001
