direction,model,split_seed,benign,benign__n,bruteforce,bruteforce__n,ddos,ddos__n,dos,dos__n,probe,probe__n,web,web__n
b_to_a,logreg,111,0.6871408127569679,88046,0.5927676258489113,28566,0.9648450326209546,420282,0.8746701617531506,632507,0.924710709083271,183293,0.3019082535618878,287488
b_to_a,tree,111,0.8533039547509257,88046,0.36361408667646855,28566,0.9032126048700634,420282,0.7659124721149331,632507,0.9198769183765884,183293,0.19408462266251114,287488
b_to_a,rf,111,0.8848783590395929,88046,0.3517468318980606,28566,0.4768869473353605,420282,0.3816005198361441,632507,0.4850539846038856,183293,0.0054332702582368655,287488
b_to_a,xgboost,111,0.8731685709742635,88046,0.35829307568438,28566,0.8893600011420904,420282,0.7422605599621822,632507,0.8985995100740345,183293,0.006010685663401603,287488
b_to_a,hgb,111,0.8614474252095495,88046,0.37919204648883287,28566,0.8638414207603466,420282,0.7431569927289342,632507,0.8983976474824461,183293,0.004410618878005343,287488
b_to_a,mlp,111,0.8885014651432206,88046,0.36042848141146816,28566,0.9066602899957648,420282,0.7703756638266454,632507,0.8879662616684761,183293,0.003596671861086376,287488
b_to_a,majority,112,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,112,0.39163619017331847,88046,0.6029545613666597,28566,0.6079465692082935,420282,0.6077798348476776,632507,0.6093358720736743,183293,0.6083662622439893,287488
b_to_a,logreg,112,0.6809508665924631,88046,0.5967233774417139,28566,0.964357264884054,420282,0.8616363139064074,632507,0.9249398504034524,183293,0.29178957034728403,287488
b_to_a,tree,112,0.8538491243213775,88046,0.33725407827487225,28566,0.29730752209230943,420282,0.23915940851247497,632507,0.19330798230156088,183293,0.18927746549421193,287488
b_to_a,rf,112,0.8867069486404834,88046,0.35514247707064345,28566,0.4945346219919007,420282,0.42227200647581764,632507,0.47963097335959365,183293,0.005099343276936777,287488
b_to_a,xgboost,112,0.8882629534561479,88046,0.39371980676328505,28566,0.8684478516805383,420282,0.7416771672092166,632507,0.9172036029744726,183293,0.004935858192341941,287488
b_to_a,hgb,112,0.8750766644708448,88046,0.355877616747182,28566,0.9069577093475333,420282,0.7689337825510232,632507,0.9182947521181932,183293,0.005047167186108637,287488
b_to_a,mlp,112,0.8626513413442973,88046,0.39575019253658195,28566,0.922340238221004,420282,0.8086471770272898,632507,0.9175036689889957,183293,0.004577582368655388,287488
b_to_a,majority,113,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,113,0.3920337096517729,88046,0.6024294615977036,28566,0.6075111472773043,420282,0.6073118558371686,632507,0.6088830451790302,183293,0.6078897206144257,287488
b_to_a,logreg,113,0.6826999522976626,88046,0.5934677588741861,28566,0.963603009407969,420282,0.8409709299659924,632507,0.924710709083271,183293,0.30909811887800537,287488
b_to_a,tree,113,0.8153805965063716,88046,0.5043408247567037,28566,0.39151093789408065,420282,0.3652512936615721,632507,0.43530303939593984,183293,0.009231689670525378,287488
b_to_a,rf,113,0.9036526361220272,88046,0.32605194987047537,28566,0.46889707386944957,420282,0.3785317790949349,632507,0.4827189254363233,183293,0.0043967052537845054,287488
b_to_a,xgboost,113,0.9004270494968539,88046,0.35132675208289577,28566,0.8418038364717023,420282,0.7656500244266071,632507,0.8508508235448162,183293,0.0064733136687444345,287488
b_to_a,hgb,113,0.8888535538241373,88046,0.21056500735139677,28566,0.901380501663169,420282,0.7472470660403758,632507,0.897808426944837,183293,0.00484889804096171,287488
b_to_a,mlp,113,0.8989959793744179,88046,0.3784219001610306,28566,0.7759028461842287,420282,0.7682144229233827,632507,0.5156279836109399,183293,0.002932296304541407,287488
b_to_a,majority,114,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,114,0.393657860663744,88046,0.6008191556395716,28566,0.6059241176162672,420282,0.6057055495038,632507,0.6074045380892887,183293,0.6063731355743545,287488
