model,split_seed,tau,pi,lambda_b,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,ppv,npv,fdr,missed_attacks_per_hour,recall,fpr,precision_corpus
mlp,111,0.6000000000000001,0.01,240000.0,2226.9807280513924,2226.9807280513924,0.0,53447.53747323342,927.90863668808,1.0,0.9991787512696937,0.0,197.26169619103229,0.9186295503211992,0.0,1.0
mlp,111,0.6000000000000001,0.03,240000.0,6818.693569394469,6818.693569394469,0.0,163648.64566546725,2841.122320581029,1.0,0.99748970559091,0.0,603.9868429766658,0.9186295503211992,0.0,1.0
mlp,111,0.6000000000000001,0.1,240000.0,24496.78800856531,24496.78800856531,0.0,587922.9122055674,10206.99500356888,1.0,0.9910398490921953,0.0,2169.8786581013546,0.9186295503211992,0.0,1.0
mlp,111,0.6500000000000001,0.0001,240000.0,21.68953512053561,21.68953512053561,0.0,520.5488428928546,9.03730630022317,1.0,0.9999903631548718,0.0,2.312865119488393,0.9036402569593148,0.0,1.0
mlp,111,0.6500000000000001,0.0003,240000.0,65.08162298796707,65.08162298796707,0.0,1561.9589517112095,27.117342911652937,1.0,0.9999710842382539,0.0,6.939983493977526,0.9036402569593148,0.0,1.0
mlp,111,0.6500000000000001,0.001,240000.0,217.09075242265823,217.09075242265823,0.0,5210.178058143798,90.4544801761076,1.0,0.9999035531036612,0.0,23.149487817582024,0.9036402569593148,0.0,1.0
mlp,111,0.6500000000000001,0.002,240000.0,434.6165564533779,434.6165564533779,0.0,10430.79735488107,181.09023185557413,1.0,0.9998069315851346,0.0,46.34536739431752,0.9036402569593148,0.0,1.0
mlp,111,0.6500000000000001,0.003,240000.0,652.5787211742294,652.5787211742294,0.0,15661.889308181504,271.90780048926223,1.0,0.9997101349697467,0.0,69.58777832426613,0.9036402569593148,0.0,1.0
mlp,111,0.6500000000000001,0.01,240000.0,2190.643047174097,2190.643047174097,0.0,52575.433132178325,912.7679363225403,1.0,0.99902761571373,0.0,233.59937706832773,0.9036402569593148,0.0,1.0
mlp,111,0.6500000000000001,0.03,240000.0,6707.432835161925,6707.432835161925,0.0,160978.3880438862,2794.7636813174686,1.0,0.9970286569529427,0.0,715.2475772092096,0.9036402569593148,0.0,1.0
mlp,111,0.6500000000000001,0.1,240000.0,24097.07351891506,24097.07351891506,0.0,578329.7644539614,10040.447299547943,1.0,0.9894067796610169,0.0,2569.5931477516046,0.9036402569593148,0.0,1.0
mlp,111,0.7000000000000001,0.0001,240000.0,21.22696209663793,21.22696209663793,0.0,509.4470903193103,8.844567540265803,1.0,0.9999884358081347,0.0,2.7754381433860726,0.8843683083511777,0.0,1.0
mlp,111,0.7000000000000001,0.0003,240000.0,63.693626289171554,63.693626289171554,0.0,1528.6470309401172,26.539010953821474,1.0,0.9999653012865726,0.0,8.327980192773035,0.8843683083511777,0.0,1.0
mlp,111,0.7000000000000001,0.001,240000.0,212.4608548591418,212.4608548591418,0.0,5099.060516619403,88.52535619130909,1.0,0.9998842659568312,0.0,27.77938538109844,0.8843683083511777,0.0,1.0
